CompanyNumber,NiceName,CompanyStatus
05696341,"26-01 Community Interest Company",Active
05903530,"""Scribes"" (South West) C.I.C.",Active
06004254,"10radio CIC",Active
06130431,"4am-for Arts and Music Community Interest Company",Active
06147565,"3-D Change Community Interest Company",Active
06212127,"3ps:people Promoting Participation Community Interest Company","Active - Proposal to Strike off"
06355041,"2 Boards and a Passion Community Interest Company",Active
06478239,"6vill.youth CIC",Active
06570123,"2qab Community Interest Company",Active
06632984,"3r Productions & Events Community Interest Company",Active
06747475,"3d Youth Services - Community Interest Company",Active
06858790,"12 Tone Community Interest Company",Active
06951236,"21st Century Options Community Interest Company",Active
07132650,"6th Conference of Contemporary Cast Iron Art Community Interest Company","Active - Proposal to Strike off"
07175119,"1st 4 Kidz Community Interest Company","Active - Proposal to Strike off"
07341704,"""My Time"" @ Oasis (Essex) Community Interest Company",Active
07349298,"1touch Project CIC",Active
07420340,"3rcomputers CIC","Active - Proposal to Strike off"
07450176,"1st Inspiration Cic","Active - Proposal to Strike off"
07485860,"21st Century Creative Team C.I.C.","Active - Proposal to Strike off"
07568550,"4one Community CIC",Active
07595752,"1 Place 4 Community Interest Company","Active - Proposal to Strike off"
07682696,"50 Not Out (Barnet) CIC",Active
07751961,"5 Elements Partnership CIC",Active
07782970,"2nd Chance Training CIC",Active
07814681,"6 Dots CIC",Active
07821515,"20twenty Productions CIC",Active
07824340,"1 Ummah FM Community Interest Company",Active
07865156,"50-50 Sync CIC",Active
07927523,"2engage Performing Arts C.I.C.",Active
07958721,"'Out and About' with Highway Farm C.I.C.",Active
08028766,"2.enable.u Community Interest Company",Active
08075136,"1 South West CIC",Active
SC384246,"10000hours C.I.C.",Active
SC386358,"7stanes Mountain Biking Community Interest Company",Active
07467406,"@ Barry Island Community Interest Company","Active - Proposal to Strike off"
07948150,"@Lternative Inclusive Measures CIC","Active - Proposal to Strike off"
07791264,"A B C Drama CIC","Active - Proposal to Strike off"
07847830,"A B C Gymnastics & Dance CIC",Active
07971832,"A Better Way Partnership CIC",Active
05915136,"A Brighter Future Community Interest Company",Active
07868085,"A Call to Men (UK) Community Interest Company",Active
07113552,"A Chance to Succeed Community Interest Company","Active - Proposal to Strike off"
06697687,"A Different Drum Productions C.I.C.",Active
07764762,"A Fairer Chance C.I.C.",Active
07736366,"A Given Thing Community Interest Company",Active
07637891,"A Helping Hand Home Care Agency Community Interest Company",Active
07637640,"A Living Tradition CIC",Active
07106146,"A New Day UK CIC",Active
06726097,"A Place in the World (UK) C.i.c",Active
07755743,"A Slice of Life in London Community Interest Company","Active - Proposal to Strike off"
05525843,"A View to a Skill C.i.c",Active
06891965,"A Vision of Britain Community Interest Company",Active
07870232,"A Woman's Touch CIC",Active
06569912,"A X Music CIC",Active
06907352,"A-Star Community Foundation Community Interest Company",Active
07876972,"A.b.l.e. Felixstowe Community Interest Company",Active
07742973,"A10 Active C.I.C.",Active
05314725,"A2om C.I.C.",Active
05611576,"Aabacus-E Community Interest Company","Active - Proposal to Strike off"
06581106,"Aabanya Fostercare Services Community Interest Company","Active - Proposal to Strike off"
06289095,"Aandbc Theatre Community Interest Company","Active - Proposal to Strike off"
07892412,"Ab-C Creations C.I.C.",Active
06563982,"Abacus Counsellors C.I.C.",Active
SC401127,"Abacus Housing Community Interest Company",Active
NI604751,"Abbey Gymnastics C.I.C.",Active
07738365,"Develop Sport + Health CIC",Active
03509206,"Abdn the Network of Influence CIC",Active
07906874,"Aberford and District Community Interest Company",Active
07768414,"Abergavenny Area Community Orchards and Gardens CIC",Active
07814636,"Abertaf Children's Services Community Interest Company","Active - Proposal to Strike off"
03061379,"Abi Associates CIC",Active
07839627,"Ability Action CIC",Active
05955494,"Ability Ventures Community Interest Company",Active
07329227,"Abingdon Hydro Community Interest Company",Active
06096631,"Abmec (Action for Bme Communities Cambridgeshire) C.I.C.",Active
07020127,"About Turn Community Interest Company",Active
07553691,"Abstraktion CIC",Active
07035409,"Acacia Destiny C.i.c",Active
07454414,"Acacia Works Community Interest Company",Active
06842455,"Academie Aquitaine Community Interest Company",Active
07147267,"Academy of Decision Makers Community Interest Company","Active - Proposal to Strike off"
06688028,"Accedo Health Community Interest Company",Active
07733466,"Accelerate Health CIC",Active
07612249,"Acces3ability Community Interest Company",Active
06412978,"Access 2 Advice Community Interest Company",Active
07404433,"Access 2 Work C.I.C.","Active - Proposal to Strike off"
07281818,"Access All Areas Music C.i.c.",Active
07932623,"Access to Training and Employment Community Interest Company",Active
05811693,"Access, Inclusion and Development in Arts Community Interest Company",Active
07979749,"Access-Info CIC","Active - Proposal to Strike off"
07229788,"Accessible Business CIC",Active
06729372,"Accordant Enterprise Partnership Community Interest Company","Active - Proposal to Strike off"
07765165,"Accountability Aa1000 C.I.C.",Active
07694282,"Acd Training Cic",Active
SC345565,"Ace Recycling Group CIC",Active
07533030,"Achieve More CIC",Active
07547198,"Achieving Results in Communities CIC",Active
07912772,"Acknowledging Youths CIC",Active
07729701,"Aclgi Community Interest Company",Active
07483126,"Acorn Alliance CIC",Active
06222592,"Acorn Community Reuse and Recycling Community Interest Company",Active
07440268,"Acorn It Reuse and Recycling (Newcastle) Community Interest Company",Active
07357806,"Acorn Timber Reuse and Recycling Community Interest Company",Active
07488473,"Acorn Youth and Community Cic","Active - Proposal to Strike off"
07183609,"Acre Wood Pre-School C.I.C.",Active
07702389,"Acrogymnastics Community Interest Company",Active
06344220,"Act Fast (North Lincolnshire) CIC",Active
07688881,"Act Global C.I.C.",Active
07529059,"Act Out Northampton Graduate Theatre Company Community Interest Company",Active
07299054,"Act Outreach CIC",Active
NI606296,"Action 3h Community Interest Company","Active - Proposal to Strike off"
07663378,"Action Community Enterprises CIC",Active
07604286,"Action for Elders UK C.I.C.",Active
05867016,"Action Sustainability Community Interest Company",Active
07588106,"Action Through Minds C.I.C.",Active
07930222,"Action Women! Community CIC",Active
06270143,"Actiondog C.I.C.",Active
07659636,"Activ Zone C.I.C.",Active
07744004,"Activating CIC",Active
07916719,"Activating Creative Talent C.I.C.",Active
06434472,"Active 4 Life (UK) Community Interest Company",Active
07155887,"Active Challenge Community Interest Company","Active - Proposal to Strike off"
07999138,"Active Citizens Fe Community Interest Company",Active
07816921,"Active Community Development C.I.C.",Active
06950215,"Active Community Enterprise (A.c.e.) Community Interest Company",Active
06939457,"Active Dorset CIC",Active
06458762,"Active Environments Community Interest Company","Active - Proposal to Strike off"
07135290,"Active for All West Midlands CIC","Active - Proposal to Strike off"
07454426,"Active Impact CIC",Active
SC341351,"Active Inquiry Community Interest Company",Active
08004800,"Active Kids Lincolnshire CIC","Active - Proposal to Strike off"
06732413,"Active Learning & Skills - Community Interest Company",Active
07873843,"Active Life for a Healthier You CIC",Active
06665285,"Active Listening Community Interest Company",Active
06370791,"Active Mendip Community Interest Company",Active
07582694,"Active Plus Community Interest Company",Active
07806156,"Active Social Enterprise CIC",Active
07834554,"Ealing Half Marathon C.I.C.",Active
05731552,"Active Support and Care (UK) CIC","Active - Proposal to Strike off"
06672338,"Active with Care Community Interest Company",Active
08018946,"Activity for All CIC",Active
07204777,"Activmobs CIC",Active
06845768,"Actually CIC",Active
07600598,"Acupuncture North Community Interest Company",Active
07980514,"Acupuncture Outreach Community Interest Company",Active
07494681,"Acute Need CIC",Active
07156488,"Adapt Devon Association of Psychological Therapists CIC",Active
07296935,"Adc Working in Communities Cic",Active
07067293,"Adcris CIC",Active
05617433,"Addas Services Community Interest Company",Active
06368098,"Addiction Behavioural Consultant's Community Interest Company",Active
07458804,"Addicts4addicts C.I.C.",Active
07224219,"Addsol Consultancy C.I.C.",Active
05460079,"Adept (Nottingham) C.i.c",Liquidation
05984267,"Adhd Solutions Community Interest Company",Active
07738319,"Adhd Therapy Bedford CIC",Active
06815693,"Adolph Benedict Deane Craft Club Community Interest Company","Active - Proposal to Strike off"
07956438,"Adolph Benedict Deane Craft Project Community Interest Company",Active
08043364,"Adonai Community Support Community Interest Company",Active
07263281,"Adonaii C.i.c.","Active - Proposal to Strike off"
06940654,"Adp Projects Community Interest Company",Active
05843493,"Advance Aid International Trading CIC",Active
07840899,"Advance Employability C.I.C.",Active
07765077,"Advance Personal Support Services CIC",Active
06309995,"Advanced Therapeutic Services Community Interest Company",Active
07785669,"Adventrada Development C.I.C.",Active
07505145,"Adventure Based Learning Community Interest Company",Active
07095981,"Adventure Education Community Interest Company",Active
07860312,"Adventure Ways Community Interest Company",Active
07646693,"Advice 2 All (Heartlands) CIC",Active
07105749,"Advice 2 All Community Interest Company",Active
06440092,"Advice Bedfordshire Community Interest Company",Active
SC420732,"The Peoples Business Directory CIC","Active - Proposal to Strike off"
07661403,"Advocacy Advantage Community Interest Company",Active
07674312,"Advocacy Solution International CIC",Active
08045657,"Aedifico Cumbria CIC","Active - Proposal to Strike off"
07108771,"Aegis Enterprises CIC",Active
06854129,"Affiliation of Colour Therapy Organisations Community Interest Company","Active - Proposal to Strike off"
07133374,"Affinity Community Engagement Project CIC",Active
07968733,"Affordable Counselling and Caring Emotional Support Services CIC",Active
06778194,"Affordable Warmth Solutions CIC",Active
07279042,"Africa Social and Economic Development (Africa Sed) C.I.C.",Active
07783089,"Africa Unlimited Community Interest Company",Active
07850948,"African Entertainment and Enterprise Centre CIC",Active
07359595,"African Initiative Support, CIC",Active
07499757,"African Socio-Cultural Centre (Asc) C.i.c.","Active - Proposal to Strike off"
07741593,"African Women's Empowerment Forum UK Community Interest Company",Active
07509530,"Africop Cic",Active
06629788,"Afrika Eye Community Interest Company",Active
07899828,"Afro*disiac Live Radio CIC",Active
07791907,"Afro-Roots Community Art CIC",Active
05942579,"Age Concern Tameside Services CIC",Active
